表C204：按區議會分區、工作地點、年及前赴工作地點的主要交通方式劃分的在港有固定工作地點的工作人口,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口
,,人數,人數,人數,人數,人數,人數,人數,人數,人數,人數,人數,人數
年,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
前赴工作地點的主要交通方式,,香港鐵路（本地線） (1),巴士 (2),步行,私家車／客貨車,公共小巴 (3),公司巴士／小巴,香港鐵路（輕鐵）,的士,屋邨／大廈巴士,小輪／船艇,其他,總計
區議會分區,工作地點,,,,,,,,,,,,
中西區,同區工作 (4),12986,4345,14468,3861,1391,312,--,3216,353,--,3086,44018
中西區,跨區工作（香港島）,13125,5225,199,2695,1633,455,--,1766,93,--,671,25862
中西區,跨區工作（九龍）,11538,2560,--,1376,388,250,--,604,11,91,98,16916
中西區,跨區工作（新市鎮）,3439,546,--,917,319,156,--,153,53,--,34,5617
中西區,跨區工作（新界其他地區）,742,370,--,177,25,38,--,30,22,171,21,1596
中西區,小計,41830,13046,14667,9026,3756,1211,--,5769,532,262,3910,94009
灣仔 (5),同區工作 (4),1458,1937,8700,1637,1290,228,--,957,21,--,1198,17426
灣仔 (5),跨區工作（香港島）,9023,6864,1919,3286,869,312,--,2610,89,--,1939,26911
灣仔 (5),跨區工作（九龍）,6217,2215,--,1584,57,219,--,309,11,101,46,10759
灣仔 (5),跨區工作（新市鎮）,1866,817,--,546,26,139,--,81,10,--,8,3493
灣仔 (5),跨區工作（新界其他地區）,559,396,--,88,--,14,--,25,--,90,--,1172
灣仔 (5),小計,19123,12229,10619,7141,2242,912,--,3982,131,191,3191,59761
東區 (5),同區工作 (4),14075,11545,21196,1734,4659,668,--,765,342,--,2412,57396
東區 (5),跨區工作（香港島）,40948,22562,644,3754,1628,1584,--,2059,343,--,1613,75135
東區 (5),跨區工作（九龍）,30361,7392,--,2681,532,590,--,702,141,1113,314,43826
東區 (5),跨區工作（新市鎮）,9600,2667,--,1698,73,413,--,121,41,22,83,14718
東區 (5),跨區工作（新界其他地區）,2382,929,--,256,4,280,--,11,4,186,76,4128
東區 (5),小計,97366,45095,21840,10123,6896,3535,--,3658,871,1321,4498,195203
南區,同區工作 (4),2365,9768,7466,1456,4387,1155,--,311,373,--,298,27579
南區,跨區工作（香港島）,11695,18934,158,5062,3402,1417,--,1638,794,--,265,43365
南區,跨區工作（九龍）,8609,4688,--,1665,700,333,--,246,139,86,91,16557
南區,跨區工作（新市鎮）,3319,1088,--,839,90,150,--,37,15,--,46,5584
南區,跨區工作（新界其他地區）,762,489,--,247,37,52,--,--,5,560,--,2152
南區,小計,26750,34967,7624,9269,8616,3107,--,2232,1326,646,700,95237
油尖旺,同區工作 (4),9829,2430,19947,1245,3105,154,--,778,52,--,163,37703
油尖旺,跨區工作（香港島）,28476,3555,--,888,310,220,--,297,28,330,110,34214
油尖旺,跨區工作（九龍）,12870,4984,1424,1564,1615,197,--,742,97,--,168,23661
油尖旺,跨區工作（新市鎮）,10954,1880,--,1957,323,251,--,494,18,--,91,15968
油尖旺,跨區工作（新界其他地區）,2372,1142,--,247,78,134,--,--,2,185,32,4192
油尖旺,小計,64501,13991,21371,5901,5431,956,--,2311,197,515,564,115738
深水埗,同區工作 (4),5993,2748,16591,755,1945,342,--,242,41,--,130,28787
深水埗,跨區工作（香港島）,29799,3833,--,1266,142,294,--,323,126,13,77,35873
深水埗,跨區工作（九龍）,31775,8235,1568,1727,2619,617,--,952,81,--,166,47740
深水埗,跨區工作（新市鎮）,18139,5922,--,2113,740,860,--,269,106,--,126,28275
深水埗,跨區工作（新界其他地區）,3963,1989,--,350,45,201,--,37,12,120,48,6765
深水埗,小計,89669,22727,18159,6211,5491,2314,--,1823,366,133,547,147440
九龍城,同區工作 (4),2150,4039,14916,1762,1844,345,--,542,113,--,124,25835
九龍城,跨區工作（香港島）,20034,13069,--,2235,853,810,--,644,94,1352,153,39244
九龍城,跨區工作（九龍）,17484,18410,2866,5655,5553,1193,--,1953,273,--,333,53720
九龍城,跨區工作（新市鎮）,10337,3269,--,2954,1324,533,--,361,37,--,134,18949
九龍城,跨區工作（新界其他地區）,1768,1257,--,758,180,389,--,26,19,64,47,4508
九龍城,小計,51773,40044,17782,13364,9754,3270,--,3526,536,1416,791,142256
黃大仙,同區工作 (4),1816,2079,11032,180,3051,148,--,121,110,--,47,18584
黃大仙,跨區工作（香港島）,23520,6002,--,696,652,460,--,197,132,--,268,31927
黃大仙,跨區工作（九龍）,34243,18249,1756,2024,3803,1271,--,598,240,--,440,62624
黃大仙,跨區工作（新市鎮）,12928,6962,--,1529,1176,868,--,247,72,--,147,23929
黃大仙,跨區工作（新界其他地區）,2219,2423,--,347,577,363,--,--,74,158,65,6226
黃大仙,小計,74726,35715,12788,4776,9259,3110,--,1163,628,158,967,143290
觀塘,同區工作 (4),15565,13429,24174,1394,10130,1098,--,532,419,--,427,67168
觀塘,跨區工作（香港島）,38915,16054,--,1346,1132,1157,--,425,240,122,428,59819
觀塘,跨區工作（九龍）,25854,22971,485,1747,4947,1604,--,575,647,--,558,59388
觀塘,跨區工作（新市鎮）,16345,12070,--,2193,2296,1260,--,264,268,12,371,35079
觀塘,跨區工作（新界其他地區）,2901,3616,--,642,549,662,--,48,23,295,159,8895
觀塘,小計,99580,68140,24659,7322,19054,5781,--,1844,1597,429,1943,230349
葵青,同區工作 (4),3170,6983,14160,710,4761,927,--,223,247,--,137,31318
葵青,跨區工作（香港島）,23751,5740,--,776,793,372,--,210,83,--,264,31989
葵青,跨區工作（九龍）,28903,15666,--,2047,2104,1213,--,480,469,--,461,51343
葵青,跨區工作（新市鎮）,8833,18939,3967,2226,9128,1972,--,590,470,--,406,46531
葵青,跨區工作（新界其他地區）,4518,4681,39,877,442,561,--,36,120,248,150,11672
葵青,小計,69175,52009,18166,6636,17228,5045,--,1539,1389,248,1418,172853
荃灣,同區工作 (4),788,3660,13256,1297,3481,384,--,465,457,--,122,23910
荃灣,跨區工作（香港島）,16377,6679,--,1106,550,446,--,251,572,1378,69,27428
荃灣,跨區工作（九龍）,19987,7536,--,2972,2328,517,--,392,654,--,266,34652
荃灣,跨區工作（新市鎮）,6799,11228,1075,3248,3787,1365,--,458,703,--,139,28802
荃灣,跨區工作（新界其他地區）,2434,2248,291,765,171,377,--,36,58,248,62,6690
荃灣,小計,46385,31351,14622,9388,10317,3089,--,1602,2444,1626,658,121482
屯門,同區工作 (4),2563,6224,17430,2482,1502,900,19303,582,270,--,1431,52687
