表C109：按前赴工作地點的主要交通方式、年及居住地區劃分的在港有固定工作地點的工作人口,,,,,,,,,,
,,,,,,,,,,
年,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
居住地區,香港島,香港島,九龍,九龍,新市鎮,新市鎮,新界其他地區及水上,新界其他地區及水上,總計,總計
,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口
,人數,百分比,人數,百分比,人數,百分比,人數,百分比,人數,百分比
前赴工作地點的主要交通方式,,,,,,,,,,
香港鐵路（本地線） (1),185069,7.0,380249,14.3,541708,20.4,43074,1.6,1150100,43.2
巴士 (2),105337,4.0,180617,6.8,354022,13.3,23709,0.9,663685,25.0
步行,54750,2.1,94759,3.6,121173,4.6,8311,0.3,278993,10.5
私家車／客貨車,35559,1.3,37574,1.4,88202,3.3,28556,1.1,189891,7.1
公共小巴 (3),21510,0.8,48989,1.8,63819,2.4,14901,0.6,149219,5.6
公司巴士／小巴,8765,0.3,15431,0.6,36826,1.4,2011,0.1,63033,2.4
香港鐵路（輕鐵）,--,--,--,--,44255,1.7,1621,0.1,45876,1.7
的士,15641,0.6,10667,0.4,10613,0.4,936,§,37857,1.4
屋邨／大廈巴士,2860,0.1,3324,0.1,14092,0.5,2041,0.1,22317,0.8
小輪／船艇,2420,0.1,2651,0.1,2349,0.1,13655,0.5,21075,0.8
其他,12299,0.5,4812,0.2,17338,0.7,3063,0.1,37512,1.4
總計,444210,16.7,779073,29.3,1294397,48.7,141878,5.3,2659558,100.0
,,,,,,,,,,
註釋：,,,,,,,,,,
(1) 香港鐵路（本地線）包括觀塘線、荃灣線、港島線、東涌線、將軍澳線、東鐵線、屯馬線、迪士尼線、南港島線及機場快線。,,,,,,,,,,
(2) 巴士包括九龍巴士、新世界第一巴士、城巴、新大嶼山巴士、龍運巴士、香港鐵路接駁巴士及來往商業區至港鐵站的接駁巴士。,,,,,,,,,,
(3) 公共小巴包括綠色專線小巴及紅色小巴。,,,,,,,,,,
-- 代表零或沒有所需數據,,,,,,,,,,
§ 代表數值少於 0.05%,,,,,,,,,,
,,,,,,,,,,
資料來源：,,,,,,,,,,
香港特別行政區政府,,,,,,,,,,
政府統計處,,,,,,,,,,
2021年人口普查辦事處,,,,,,,,,,
查詢電話：3428 2744,,,,,,,,,,
查詢電郵：census2021@censtatd.gov.hk,,,,,,,,,,
,,,,,,,,,,
發布日期：2022年2月28日,,,,,,,,,,
