表C205：按區議會分區、工作地點、年及前赴工作地點的交通方式數目劃分的在港有固定工作地點的工作人口,,,,,
,,,,,
,,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口,在港有固定工作地點的工作人口
,,人數,人數,人數,人數
年,,2021,2021,2021,2021
前赴工作地點的交通方式數目,,1,2,3+,總計
區議會分區,工作地點,,,,
中西區,同區工作 (1),33134,7365,3519,44018
中西區,跨區工作（香港島）,15985,6491,3386,25862
中西區,跨區工作（九龍）,10270,4415,2231,16916
中西區,跨區工作（新市鎮）,3294,1650,673,5617
中西區,跨區工作（新界其他地區）,766,602,228,1596
中西區,小計,63449,20523,10037,94009
灣仔 (2),同區工作 (1),14036,1991,1399,17426
灣仔 (2),跨區工作（香港島）,17407,5910,3594,26911
灣仔 (2),跨區工作（九龍）,6036,3034,1689,10759
灣仔 (2),跨區工作（新市鎮）,2107,1036,350,3493
灣仔 (2),跨區工作（新界其他地區）,531,565,76,1172
灣仔 (2),小計,40117,12536,7108,59761
東區 (2),同區工作 (1),44891,8416,4089,57396
東區 (2),跨區工作（香港島）,46820,18868,9447,75135
東區 (2),跨區工作（九龍）,26272,12259,5295,43826
東區 (2),跨區工作（新市鎮）,8542,4766,1410,14718
東區 (2),跨區工作（新界其他地區）,1617,1814,697,4128
東區 (2),小計,128142,46123,20938,195203
南區,同區工作 (1),21752,4012,1815,27579
南區,跨區工作（香港島）,26986,10753,5626,43365
南區,跨區工作（九龍）,8150,6101,2306,16557
南區,跨區工作（新市鎮）,2867,1984,733,5584
南區,跨區工作（新界其他地區）,834,894,424,2152
南區,小計,60589,23744,10904,95237
油尖旺,同區工作 (1),32963,2933,1807,37703
油尖旺,跨區工作（香港島）,24471,6528,3215,34214
油尖旺,跨區工作（九龍）,16249,5161,2251,23661
油尖旺,跨區工作（新市鎮）,9926,4408,1634,15968
油尖旺,跨區工作（新界其他地區）,2536,1200,456,4192
油尖旺,小計,86145,20230,9363,115738
深水埗,同區工作 (1),25690,1989,1108,28787
深水埗,跨區工作（香港島）,25693,7482,2698,35873
深水埗,跨區工作（九龍）,33440,10012,4288,47740
深水埗,跨區工作（新市鎮）,18976,6953,2346,28275
深水埗,跨區工作（新界其他地區）,3624,2324,817,6765
深水埗,小計,107423,28760,11257,147440
九龍城,同區工作 (1),22501,2420,914,25835
九龍城,跨區工作（香港島）,21301,11679,6264,39244
九龍城,跨區工作（九龍）,34770,11755,7195,53720
九龍城,跨區工作（新市鎮）,11416,5433,2100,18949
九龍城,跨區工作（新界其他地區）,2188,1495,825,4508
九龍城,小計,92176,32782,17298,142256
黃大仙,同區工作 (1),16543,1403,638,18584
黃大仙,跨區工作（香港島）,18984,9633,3310,31927
黃大仙,跨區工作（九龍）,39625,15607,7392,62624
黃大仙,跨區工作（新市鎮）,13128,7780,3021,23929
黃大仙,跨區工作（新界其他地區）,3057,2173,996,6226
黃大仙,小計,91337,36596,15357,143290
觀塘,同區工作 (1),53218,9108,4842,67168
觀塘,跨區工作（香港島）,35123,18638,6058,59819
觀塘,跨區工作（九龍）,37878,14490,7020,59388
觀塘,跨區工作（新市鎮）,19870,10385,4824,35079
觀塘,跨區工作（新界其他地區）,4365,3190,1340,8895
觀塘,小計,150454,55811,24084,230349
葵青,同區工作 (1),26094,3384,1840,31318
葵青,跨區工作（香港島）,18836,9892,3261,31989
葵青,跨區工作（九龍）,31399,14668,5276,51343
葵青,跨區工作（新市鎮）,30905,10561,5065,46531
葵青,跨區工作（新界其他地區）,6397,3930,1345,11672
葵青,小計,113631,42435,16787,172853
荃灣,同區工作 (1),21108,1837,965,23910
荃灣,跨區工作（香港島）,14783,8961,3684,27428
荃灣,跨區工作（九龍）,19197,10740,4715,34652
荃灣,跨區工作（新市鎮）,17484,7414,3904,28802
荃灣,跨區工作（新界其他地區）,3147,2546,997,6690
荃灣,小計,75719,31498,14265,121482
屯門,同區工作 (1),44267,5440,2980,52687
屯門,跨區工作（香港島）,14335,7606,3636,25577
屯門,跨區工作（九龍）,25547,12134,4306,41987
