id,SRC_STATION_NAME,SRC_STATION_ID,DEST_STATION_NAME,DEST_STATION_ID,OCT_ADT_FARE,OCT_STD_FARE,OCT_JOYYOU_SIXTY_FARE,SINGLE_ADT_FARE,OCT_CON_CHILD_FARE,OCT_CON_ELDERLY_FARE,OCT_CON_PWD_FARE,SINGLE_CON_CHILD_FARE,SINGLE_CON_ELDERLY_FARE
1,Central,1,Cent    ·ral,1,0,0,0,0,0,0,0,0,0
2,Central,1,Admiralty,2,4.9,3.2,2,5,3.2,2,2,3.5,3.5
3,Central,1,Tsim Sha Tsui,3,10.6,5.4,2,12.5,5.4,2,2,5.5,5.5
4,Central,1,Jordan,4,10.6,5.4,2,12.5,5.4,2,2,5.5,5.5
5,Central,1,Yau Ma Tei,5,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
6,Central,1,Mong Kok,6,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
7,Central,1,Shek Kip Mei,7,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
8,Central,1,Kowloon Tong,8,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
9,Central,1,Lok Fu,9,15.8,7.4,2,16,7.4,2,2,7.5,7.5
10,Central,1,Wong Tai Sin,10,15.8,7.4,2,16,7.4,2,2,7.5,7.5
11,Central,1,Diamond Hill,11,15.8,7.4,2,16,7.4,2,2,7.5,7.5
12,Central,1,Choi Hung,12,15.8,7.4,2,16,7.4,2,2,7.5,7.5
13,Central,1,Kowloon Bay,13,15.8,7.4,2,16,7.4,2,2,7.5,7.5
14,Central,1,Ngau Tau Kok,14,15.8,7.4,2,16,7.4,2,2,7.5,7.5
15,Central,1,Kwun Tong,15,15.8,7.4,2,16,7.4,2,2,7.5,7.5
16,Central,1,Prince Edward,16,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
17,Central,1,Sham Shui Po,17,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
18,Central,1,Cheung Sha Wan,18,13.2,6.5,2,15.5,6.5,2,2,6.5,6.5
19,Central,1,Lai Chi Kok,19,15.8,7.4,2,16,7.4,2,2,7.5,7.5
20,Central,1,Mei Foo,20,15.8,7.4,2,16,7.4,2,2,7.5,7.5
21,Central,1,Lai King,21,15.8,7.4,2,16,7.4,2,2,7.5,7.5
22,Central,1,Kwai Fong,22,15.8,7.4,2,16,7.4,2,2,7.5,7.5
23,Central,1,Kwai Hing,23,15.8,7.4,2,16,7.4,2,2,7.5,7.5
24,Central,1,Tai Wo Hau,24,15.8,7.4,2,16,7.4,2,2,7.5,7.5
25,Central,1,Tsuen Wan,25,15.8,7.4,2,16,7.4,2,2,7.5,7.5
26,Central,1,Sheung Wan,26,4.9,3.2,2,5,3.2,2,2,3.5,3.5
27,Central,1,Wan Chai,27,4.9,3.2,2,5,3.2,2,2,3.5,3.5
28,Central,1,Causeway Bay,28,5.9,3.2,2,6,3.2,2,2,3.5,3.5
