iter	Passed	Remaining
0	3	65927
1	7	74346
2	11	76523
3	15	75722
4	18	75252
5	22	75209
6	25	73860
7	29	74386
8	33	73630
9	36	73366
10	41	76301
11	46	76974
12	50	76981
13	54	77403
14	57	76580
15	61	76468
16	64	75610
17	68	75858
18	73	77169
19	77	77267
20	81	77590
21	85	77260
22	88	76802
23	92	76872
24	95	76393
25	98	75674
26	102	76171
27	107	76401
28	110	76017
29	112	74736
30	115	74292
31	119	74453
32	123	74947
33	127	74876
34	131	74763
35	135	75062
36	139	75465
37	143	75618
38	147	75404
39	151	75457
40	155	75507
41	159	75560
42	162	75293
43	166	75581
44	172	76462
45	176	76512
46	179	76103
47	183	76466
48	187	76428
49	191	76459
50	195	76372
51	200	76843
52	204	76828
53	207	76563
54	211	76523
55	214	76498
56	218	76486
57	222	76376
58	225	76300
59	229	76218
60	234	76512
61	237	76378
62	241	76339
63	244	76098
64	248	76245
65	251	76024
66	255	76101
67	258	75891
68	263	76039
69	267	76086
70	271	76133
71	274	76041
72	278	75973
73	282	75997
74	286	76014
75	289	75902
76	292	75695
77	297	75918
78	301	75943
79	304	75915
80	308	75932
81	312	76018
82	317	76076
83	320	76040
84	324	75920
85	329	76287
86	333	76337
87	337	76324
88	340	76238
89	345	76346
90	348	76344
91	353	76430
92	356	76392
93	361	76615
94	366	76805
95	370	76798
96	374	76775
97	378	76768
98	382	76792
99	385	76766
100	389	76704
101	394	77020
102	398	77066
103	403	77112
104	407	77234
105	411	77209
106	415	77158
107	418	77027
108	422	77060
109	426	77105
110	430	77120
111	433	76969
112	437	76944
113	441	76983
114	445	76951
115	448	76840
116	451	76812
117	456	76879
118	470	78623
119	474	78602
120	477	78527
121	481	78443
122	500	80853
123	503	80779
124	514	81868
125	518	81739
126	527	82539
127	531	82511
128	534	82380
129	538	82266
130	542	82277
131	546	82225
132	549	82064
133	553	82023
134	557	82098
135	573	83816
136	577	83658
137	580	83543
138	583	83353
139	588	83450
140	591	83281
141	595	83221
142	598	83119
143	602	83031
144	605	82922
145	609	82870
146	612	82742
147	616	82685
148	621	82782
149	624	82708
150	628	82593
151	631	82506
152	636	82546
153	639	82402
154	643	82340
155	646	82240
156	663	83903
157	668	83911
158	671	83852
159	675	83760
160	679	83711
161	683	83732
162	687	83702
163	691	83626
164	695	83568
165	698	83510
166	702	83464
167	706	83390
168	709	83308
169	713	83209
170	725	84155
171	728	84002
172	732	83971
173	736	83893
174	739	83813
175	743	83726
176	747	83690
177	751	83650
178	755	83615
179	758	83530
180	762	83453
181	765	83381
182	769	83349
183	773	83285
184	776	83158
185	780	83192
186	784	83151
187	788	83079
188	791	82995
189	795	82958
190	799	82884
191	803	82851
192	806	82802
193	810	82744
194	815	82828
195	818	82703
196	822	82652
197	825	82566
198	829	82546
199	833	82503
200	836	82418
201	839	82297
202	843	82280
203	848	82378
204	852	82311
205	855	82222
206	859	82139
207	863	82163
208	867	82114
209	870	82063
210	874	82013
211	879	82050
212	882	81976
213	886	81943
214	890	81909
215	894	81928
216	898	81868
217	901	81801
218	905	81757
219	909	81764
220	913	81739
221	917	81718
222	920	81619
223	924	81596
224	927	81493
225	930	81397
226	934	81378
227	937	81312
228	946	81730
229	950	81707
230	954	81651
231	957	81620
232	961	81580
233	965	81543
